id,type,a_g,b_g,c_g,snratio_g,chisq_g,nrise_g,a_r,b_r,c_r,snratio_r,chisq_r,nrise_r
ZTF19acoaiub,(TNS) LBV,2.493477455231316,0.3554190979138103,7955.543480137058,13.810576298214167,164.8753118994202,4.0,0.7310519918292194,0.061884610091181014,10375.761245959497,22.29391525650603,80.30505262323543,4.0
ZTF20acfdmex,(TNS) SN II,3.8110469457543594,0.5538031806099627,4889.522967472248,10.150122581531793,3028.4381887290665,10.0,0.3140019865663287,-3.748380340907476,6118.762768950876,13.790743935503505,122.0149805762935,23.0
ZTF18acaqdaa,(TNS) TDE,0.8864419462344562,-3.1370200832071995,821.1080805957447,5.2148716754118745,27.32493323052208,13.0,22.728380586425445,-73.63281409696123,704.2810276364386,4.507149243087433,13.027052820095426,7.0
ZTF20abpmqnr,(TNS) SN IIn,0.3698619486636038,5.155573505900371,23631.69220270872,25.082932985653166,327.5362431365496,10.0,0.3666518311201438,4.567571775374327,36249.26898883098,32.487783923574156,732.2298787660361,14.0
ZTF21aakigqr,(TNS) SN II,0.02485795178697901,329.5366173297592,2255581.752549638,5.460992851445654,54.1606307947497,4.0,0.10858730864401862,-13.033803145178995,1612.8945431132186,6.951829945619362,83.48163880587263,4.0
ZTF20aczgoml,(TNS) SN Ia-91T-like,0.4066792839786459,6.459656581919403,13177.71073952373,18.815269397476317,38.51510884502886,6.0,0.3431599426384531,4.208336899306674,11531.684507938275,20.726775389997382,60.697701094769855,7.0
ZTF20acrinvz,(TNS) SN IIP,1.2106719834848292,-0.6441650418660648,1794.3212688234994,9.086932906058355,209.9400083237437,8.0,0.1387481135180669,0.6022946472825705,2335.2638985517037,9.716790604351445,73.37108819713342,15.0
ZTF18aauselm,(TNS) SN II,0.0004928394847957871,7075.905461870458,1085116.7847464248,30.961567451036874,28925.168613252947,137.0,0.027625525622355394,-41.70484933688711,47890.089265968156,29.63881353298655,73944.70102865619,126.0
ZTF20abyxjvm,(TNS) SN IIn,0.06798675790986981,-16.872975009931384,3230.812994921323,11.102569642569891,9.266544170696957,8.0,0.04739031622860708,20.9701152330824,5661.09786338058,10.85513526044704,12.636426356291606,12.0
ZTF18absoghh,(TNS) SN II,1.344894665731698,-1.77780976750417,1617.4781236684612,8.295400524324569,455.14209770756725,51.0,5.5194500813791345,-0.23560126923938673,1659.8171665013956,9.750477142415734,150.24007487095997,49.0
ZTF19aboepcr,(TNS) Varstar,3.2444396297314824,-0.2077150103783547,13204.82159400258,13.452203262661287,2618.695021188933,13.0,1.0089471308435312,-0.12523328607957418,25245.196307713526,13.694692951738935,3050.5612927588904,10.0
ZTF20abjpvce,(TNS) SN Ib,0.3045465668043943,0.41013598161183745,2024.9126050314087,7.935547262191674,109.87657144734965,10.0,0.2393098591586944,3.5812628449836414,4596.113261509594,11.131066687366479,51.60537503424873,12.0
ZTF20abcgkom,(TNS) SN II,0.3138807446759199,2.0770370171683195,2569.129232446624,8.40835137942704,138.87622994286846,6.0,0.284586443854079,1.4302135859274485,3176.373603489247,12.345874701571242,6.059933543441137,5.0
ZTF21aanefkx,(TNS) SLSN-II,0.2095777076110017,4.837867147599344,3536.01801346996,8.649111368242584,149.2994109674903,7.0,4.88989081949232,-0.6535535319642326,3707.044437981507,11.431670302981393,96.91013960615706,5.0
ZTF20aamfpcj,(TNS) SN Ia-91T-like,0.268570078825461,5.6262782930918975,4054.7986085402367,8.911540566773034,32.16472127031326,11.0,0.28215341714552444,5.867737016449409,3443.418325681859,11.046946423459064,36.21732622481244,12.0
ZTF20abvquuo,(TNS) SN Ib,0.39890180575504547,2.365282661828999,3484.015413483881,9.79003843462463,0.7232342653174098,6.0,0.2426625511109906,3.832142821900803,5625.024502114577,12.855996876184047,37.47283966281017,8.0
ZTF20aanlbjq,(TNS) Varstar,0.007488383809111775,-128.55518533588327,971.5742497008405,4.753136769131004,157.9503640454248,14.0,0.012378960363655439,-9.52322145912878,6255.794878660866,10.982169097289518,2716.037468677301,59.0
ZTF18acvvppd,(TNS) SN IIn,0.2278251687180433,-12.854094031267707,10376.514786381413,21.738001460726355,9.375878313193706,12.0,0.0061582963868208615,-491.2253136318086,17924.305732289256,23.839040681259313,25.91935120790376,14.0
ZTF19acyjzbe,(TNS) SLSN-I,0.38472413164068353,-4.428329907883893,3236.9919268777726,11.30580057301056,25.40806034216515,7.0,1.9331358110354464,-1.0840278914399233,3520.3495348992315,8.114841339798518,7.251858678758919,4.0
ZTF17aacwaxc,(TNS) M dwarf,0.3633707737247988,-14.811273784182907,4907.041612493457,9.049817538515939,487.6258690071089,7.0,0.0575263923490881,-1369.2244613470564,13232.150928826159,13.024059157541203,1695.847959863388,10.0
ZTF19aavchib,(TNS) Varstar,0.004772635030746232,21.607485389202257,22342.084098221694,16.61606709731641,6763.87661253872,20.0,0.0019594484870905436,2670.0869127437513,8181944.359295396,28.482697633771735,12743.91109572649,13.0
ZTF20aaiaaoi,(TNS) SN Ia-91T-like,0.28559410549606623,-0.2481667330756898,2913.9723554420957,10.508307997737703,29.336598677019083,5.0,0.29944198421976365,1.3381064577512898,2934.434104098381,10.280913835819849,52.44186150032964,8.0
ZTF18abugefv,(TNS) SN II,0.0034107275261368677,-144.5679869910198,1058.515596368831,4.974446322599962,496.3847871961093,40.0,0.002045348965037334,-1143.4229070152167,3208.2697381551507,11.869049275249141,285.84116228692494,77.0
ZTF20aavptjf,(TNS) SN II,1.5386240737952164,-1.2288729763167112,5922.471171305139,18.705989000733943,0.42799089767608733,4.0,0.34724958788413474,-2.819574085540219,5863.731996400982,16.823180713276543,35.63767024400821,7.0
ZTF20ackgsov,(TNS) AGN,0.004018799924276466,1503.4283104736967,886153.3587099392,7.085787623540352,640.8170060478826,21.0,0.0028553720041419608,2148.1697458611434,1338108.845337648,10.138650380298516,266.74437473509363,18.0
ZTF20acpvbbh,(TNS) SN II,0.8308453104452858,-1.1556774224908983,14309.696193962067,19.27720858871488,50.52484486705495,5.0,0.636689654327304,0.9101193336875057,13944.235212720772,25.513602527946734,78.64199412609125,6.0
